"base_country_code","base_country_name","base_lat","base_long","base_country_wb_income","base_country_wb_region","target_country_code","target_country_name","target_lat","target_long","target_country_wb_income","target_country_wb_region","year","value"
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","af","Afghanistan",33.93911,67.709953,"Low Income","South Asia","2015",0.19
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dz","Algeria",28.033886,1.659626,"Upper Middle Income","Middle East & North Africa","2015",0.19
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ao","Angola",-11.202692,17.873887,"Lower Middle Income","Sub-Saharan Africa","2015",-0.01
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ar","Argentina",-38.416097,-63.616672,"High Income","Latin America & Caribbean","2015",0.16
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","am","Armenia",40.069099,45.038189,"Upper Middle Income","Europe & Central Asia","2015",0.1
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","au","Australia",-25.274398,133.775136,"High Income","East Asia & Pacific","2015",-1.06
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","at","Austria",47.516231,14.550072,"High Income","Europe & Central Asia","2015",0.11
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","az","Azerbaijan",40.143105,47.576927,"Upper Middle Income","Europe & Central Asia","2015",0.24
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","bh","Bahrain",25.930414,50.637772,"High Income","Middle East & North Africa","2015",0.9
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","bd","Bangladesh",23.684994,90.356331,"Lower Middle Income","South Asia","2015",-0.21
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","by","Belarus",53.709807,27.953389,"Upper Middle Income","Europe & Central Asia","2015",0.12
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","be","Belgium",50.503887,4.469936,"High Income","Europe & Central Asia","2015",0.51
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","br","Brazil",-14.235004,-51.92528,"Upper Middle Income","Latin America & Caribbean","2015",0.81
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","bg","Bulgaria",42.733883,25.48583,"Upper Middle Income","Europe & Central Asia","2015",0.17
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","cm","Cameroon",7.369722,12.354722,"Lower Middle Income","Sub-Saharan Africa","2015",0.2
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ca","Canada",56.130366,-106.346771,"High Income","North America","2015",-2.96
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","cl","Chile",-35.675147,-71.542969,"High Income","Latin America & Caribbean","2015",0.02
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","cn","China",35.86166,104.195397,"Upper Middle Income","East Asia & Pacific","2015",0.86
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","co","Colombia",4.570868,-74.297333,"Upper Middle Income","Latin America & Caribbean","2015",0.02
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","hr","Croatia",45.1,15.2,"High Income","Europe & Central Asia","2015",0.16
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","cy","Cyprus",35.126413,33.429859,"High Income","Europe & Central Asia","2015",0.14
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","cz","Czech Republic",49.817492,15.472962,"High Income","Europe & Central Asia","2015",0.24
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","dk","Denmark",56.26392,9.501785,"High Income","Europe & Central Asia","2015",0.13
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","eg","Egypt, Arab Rep.",26.820553,30.802498,"Lower Middle Income","Middle East & North Africa","2015",9.2
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","et","Ethiopia",9.145,40.489673,"Low Income","Sub-Saharan Africa","2015",0.11
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","fi","Finland",61.92411,25.748151,"High Income","Europe & Central Asia","2015",0.07
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","fr","France",46.227638,2.213749,"High Income","Europe & Central Asia","2015",3.19
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ge","Georgia",42.315407,43.356892,"Lower Middle Income","Europe & Central Asia","2015",0.05
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","de","Germany",51.165691,10.451526,"High Income","Europe & Central Asia","2015",0.15
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","gh","Ghana",7.946527,-1.023194,"Lower Middle Income","Sub-Saharan Africa","2015",0.38
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","gr","Greece",39.074208,21.824312,"High Income","Europe & Central Asia","2015",0.43
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","hk","Hong Kong SAR, China",22.396428,114.109497,"High Income","East Asia & Pacific","2015",0.17
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","hu","Hungary",47.162494,19.503304,"High Income","Europe & Central Asia","2015",0.12
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","in","India",20.593684,78.96288,"Lower Middle Income","South Asia","2015",91.75
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","id","Indonesia",-0.789275,113.921327,"Lower Middle Income","East Asia & Pacific","2015",0.35
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ir","Iran, Islamic Rep.",32.427908,53.688046,"Upper Middle Income","Middle East & North Africa","2015",-0.18
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","iq","Iraq",33.223191,43.679291,"Upper Middle Income","Middle East & North Africa","2015",-0.2
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ie","Ireland",53.41291,-8.24389,"High Income","Europe & Central Asia","2015",0.64
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","it","Italy",41.87194,12.56738,"High Income","Europe & Central Asia","2015",2.22
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","jp","Japan",36.204824,138.252924,"High Income","East Asia & Pacific","2015",0.03
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","jo","Jordan",30.585164,36.238414,"Upper Middle Income","Middle East & North Africa","2015",4.93
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","kz","Kazakhstan",48.019573,66.923684,"Upper Middle Income","Europe & Central Asia","2015",0.25
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ke","Kenya",-0.023559,37.906193,"Lower Middle Income","Sub-Saharan Africa","2015",0.61
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","kr","Korea, Rep.",35.907757,127.766922,"High Income","East Asia & Pacific","2015",0.34
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","kw","Kuwait",29.31166,47.481766,"High Income","Middle East & North Africa","2015",1.28
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","lb","Lebanon",33.854721,35.862285,"Upper Middle Income","Middle East & North Africa","2015",4.25
"ae","United Arab Emirates",23.424076,53.847818,"High Income","Middle East & North Africa","ly","Libya",26.3351,17.228331,"Upper Middle Income","Middle East & North Africa","2015",0.2
